dataset,seed,technique,noise,mse_change_rel,acf_change_rel,baseline_mse,baseline_acf
ETTh1,7,patching,0.1,0.0008969463130998288,9.992007221626425e-16,6.380100522792242e-16,0.9999999999999983
ETTh1,7,patching,0.5,0.2547994275169099,6.66133814775095e-16,6.380100522792242e-16,0.9999999999999983
ETTh1,7,decomposition,0.1,-0.1472282328587575,0.0,5.14575917334542e-34,1.0
ETTh1,7,decomposition,0.5,-0.09882952988714115,-7.401486830834377e-17,5.14575917334542e-34,1.0
ETTh1,7,foundation,0.1,0.012010941740305368,-0.00024928949450183263,0.30861295682372586,0.9960999105531927
ETTh1,7,foundation,0.5,0.2147901714120156,0.0011426201226457835,0.30861295682372586,0.9960999105531927
ETTh1,7,hmm,0.1,0.06868007835783747,-0.00016665055323569167,0.04880510411760578,0.9996141149419701
ETTh1,7,hmm,0.5,0.8754408244309563,-0.0013161236632810963,0.04880510411760578,0.9996141149419701
ETTh2,42,discretization,0.1,0.0266735177325981,-4.307634900421393e-05,0.13004057434314995,0.9997348796146729
ETTh2,42,discretization,0.5,-0.2555013707247036,-0.00018031416521684592,0.13004057434314995,0.9997348796146729
ETTh2,42,text_based,0.1,-0.0029071433715909287,2.0042108847720623e-07,4.176152690053703e-05,0.9999997371901459
ETTh2,42,text_based,0.5,0.0033690608073658375,1.8496607340376831e-07,4.176152690053703e-05,0.9999997371901459
ETTh2,42,patching,0.1,-0.07015212505001785,4.070817756958917e-16,6.673393939027655e-16,0.9999999999999977
ETTh2,42,patching,0.5,0.22858877260848065,7.031412489292676e-16,6.673393939027655e-16,0.9999999999999977
ETTh2,42,decomposition,0.1,-0.0947797378209519,0.0,5.352147682411738e-34,1.0
ETTh2,42,decomposition,0.5,0.015783562643742675,0.0,5.352147682411738e-34,1.0
ETTh2,42,foundation,0.1,0.013622510968274394,0.0001728478931292836,0.3046382805801555,0.9939147286926799
ETTh2,42,foundation,0.5,0.26626765857075707,-0.00034401869932987637,0.3046382805801555,0.9939147286926799
ETTh2,42,hmm,0.1,0.08186343496084351,-3.565064116363136e-05,0.031802454329790834,0.9999882253749887
ETTh2,42,hmm,0.5,2.4898737761715655,-0.0010246395439647523,0.031802454329790834,0.9999882253749887
ETTh2,2021,discretization,0.1,0.01056805042215688,-0.00012282535659044786,0.13004057434314995,0.9997348796146729
ETTh2,2021,discretization,0.5,-0.23332878365043327,-0.00015871494914638878,0.13004057434314995,0.9997348796146729
ETTh2,2021,text_based,0.1,0.002636220623093724,1.9981707729208595e-07,4.176152690053703e-05,0.9999997371901459
ETTh2,2021,text_based,0.5,-0.01642556712629348,2.1281262912260732e-07,4.176152690053703e-05,0.9999997371901459
ETTh2,2021,patching,0.1,-0.04754624008967621,1.8503717077085983e-15,6.673393939027655e-16,0.9999999999999977
ETTh2,2021,patching,0.5,0.23535839402938752,1.5913196686293947e-15,6.673393939027655e-16,0.9999999999999977
ETTh2,2021,decomposition,0.1,-0.0774612026960852,-3.700743415417188e-17,5.352147682411738e-34,1.0
ETTh2,2021,decomposition,0.5,-0.031608882178863686,0.0,5.352147682411738e-34,1.0
ETTh2,2021,foundation,0.1,0.0019044324162488426,-3.2196037884016163e-06,0.2954137134278615,0.9955173533354588
ETTh2,2021,foundation,0.5,0.24558325641780243,0.0002785258430714115,0.2954137134278615,0.9955173533354588
ETTh2,2021,hmm,0.1,0.08003201363234329,-1.3641344306106716e-05,0.03180256161854092,0.9999882248689128
ETTh2,2021,hmm,0.5,2.467466580649884,-0.0009782223482633333,0.03180256161854092,0.9999882248689128
ETTh2,7,discretization,0.1,-0.014332143675564292,-8.700441805500462e-05,0.13004057434314995,0.9997348796146729
ETTh2,7,discretization,0.5,-0.266057236775157,-0.00010419653977696887,0.13004057434314995,0.9997348796146729
ETTh2,7,text_based,0.1,0.004917733025852847,2.1925223225967656e-07,4.176152690053703e-05,0.9999997371901459
ETTh2,7,text_based,0.5,-0.003319774348895845,2.1294504582762913e-07,4.176152690053703e-05,0.9999997371901459
ETTh2,7,patching,0.1,-0.03731577269972204,9.251858538542992e-16,6.673393939027655e-16,0.9999999999999977
ETTh2,7,patching,0.5,0.1910366327777154,8.141635513917834e-16,6.673393939027655e-16,0.9999999999999977
ETTh2,7,decomposition,0.1,-0.002685998480483004,0.0,5.352147682411738e-34,1.0
ETTh2,7,decomposition,0.5,0.020469011234772978,-7.401486830834377e-17,5.352147682411738e-34,1.0
ETTh2,7,foundation,0.1,0.0066128368373641775,-2.89175315175119e-05,0.30807076581464843,0.9980350953225988
ETTh2,7,foundation,0.5,0.24426691709911383,-4.3109583406960074e-05,0.30807076581464843,0.9980350953225988
ETTh2,7,hmm,0.1,0.09052965805994989,-8.003122092046592e-06,0.03180247961813384,0.9999882252341878
ETTh2,7,hmm,0.5,2.0518577518009447,-0.0008480578449072473,0.03180247961813384,0.9999882252341878
Weather,42,discretization,0.1,-0.010057181840951933,-0.00011644594945052309,0.1401234563764237,0.9998776771832094
Weather,42,discretization,0.5,-0.284836840901268,-0.0007520520058913282,0.1401234563764237,0.9998776771832094
Weather,42,text_based,0.1,0.04509099694695697,1.0058060680643688e-08,3.886371339327742e-05,0.9999999521662097
Weather,42,text_based,0.5,0.06220533502568488,-7.4346230138758405e-09,3.886371339327742e-05,0.9999999521662097
Weather,42,patching,0.1,0.22911360554076943,-3.586822553912863e-09,7.32941134686858e-05,0.9999999968688495
Weather,42,patching,0.5,3.4661283798916256,-9.011707153189912e-08,7.32941134686858e-05,0.9999999968688495
Weather,42,decomposition,0.1,-0.007624798530474976,0.0,1.495743148833309e-34,1.0
Weather,42,decomposition,0.5,0.7734251035974662,-3.700743415417188e-17,1.495743148833309e-34,1.0
Weather,42,foundation,0.1,0.0075228269802570975,0.00011211557052501164,0.31505195610531966,0.9965820626291042
Weather,42,foundation,0.5,0.2331022992215588,0.0012268045151516659,0.31505195610531966,0.9965820626291042
Weather,42,hmm,0.1,0.03381181712126918,-0.00022894500442625977,0.1524259537173713,0.9991743036693869
Weather,42,hmm,0.5,1.0303286097410682,-0.008942840360028551,0.1524259537173713,0.9991743036693869
Weather,2021,discretization,0.1,-0.025984877291119295,-0.00012724056559659436,0.1401234563764237,0.9998776771832094
Weather,2021,discretization,0.5,-0.27726821713576943,-0.0006535290592336691,0.1401234563764237,0.9998776771832094
Weather,2021,text_based,0.1,0.04168380388612722,-2.644387428214894e-09,3.886371339327742e-05,0.9999999521662097
Weather,2021,text_based,0.5,0.06254464906402919,7.746016014242026e-09,3.886371339327742e-05,0.9999999521662097
Weather,2021,patching,0.1,0.33233589074939596,-1.457179196687753e-09,7.32941134686858e-05,0.9999999968688495
Weather,2021,patching,0.5,3.817047967399579,-1.0870697753804799e-07,7.32941134686858e-05,0.9999999968688495
Weather,2021,decomposition,0.1,-0.08055682344617447,-7.401486830834377e-17,1.495743148833309e-34,1.0
Weather,2021,decomposition,0.5,0.8450931609638879,-3.700743415417188e-17,1.495743148833309e-34,1.0
Weather,2021,foundation,0.1,0.006818303068942662,6.419534478734324e-05,0.3102087668337929,0.9953324136042191
Weather,2021,foundation,0.5,0.247556452829673,0.0007773673485053711,0.3102087668337929,0.9953324136042191
Weather,2021,hmm,0.1,0.04039852880620828,-0.0004527177182718366,0.15242589828505052,0.9991742843053644
Weather,2021,hmm,0.5,1.0125660145148088,-0.008286262311916738,0.15242589828505052,0.9991742843053644
Weather,7,discretization,0.1,-0.01149974525496615,-0.00011916046321398283,0.1401234563764237,0.9998776771832094
Weather,7,discretization,0.5,-0.296871304427806,-0.0008563452016616891,0.1401234563764237,0.9998776771832094
Weather,7,text_based,0.1,0.040223875801795504,-6.537373844108528e-09,3.886371339327742e-05,0.9999999521662097
Weather,7,text_based,0.5,0.0549681103362623,7.47503613310603e-09,3.886371339327742e-05,0.9999999521662097
Weather,7,patching,0.1,0.23835743678979351,-2.4239837250413446e-09,7.32941134686858e-05,0.9999999968688495
Weather,7,patching,0.5,6.427408277479603,-9.838482877737628e-08,7.32941134686858e-05,0.9999999968688495
Weather,7,decomposition,0.1,-0.024656890604578086,-7.401486830834377e-17,1.495743148833309e-34,1.0
Weather,7,decomposition,0.5,0.8066825568043425,-3.700743415417188e-17,1.495743148833309e-34,1.0
Weather,7,foundation,0.1,0.012211302692301513,0.00014372890469799157,0.3187300332511872,0.9944808052569698
Weather,7,foundation,0.5,0.25685847325124,0.0007840603877655577,0.3187300332511872,0.9944808052569698
Weather,7,hmm,0.1,0.028065267140714556,-0.0001360894681550882,0.15242591322177454,0.9991742846403294
Weather,7,hmm,0.5,0.9994700259539023,-0.008330020606430672,0.15242591322177454,0.9991742846403294
Electricity,42,discretization,0.1,-0.02951369834827569,1.313894900695005e-05,0.16629825770202444,0.9994356369866199
Electricity,42,discretization,0.5,-0.3822280231215977,-4.901748550928528e-05,0.16629825770202444,0.9994356369866199
Electricity,42,text_based,0.1,-0.01798299430983374,-1.788268542131057e-08,4.300640927716615e-05,0.9999999660634254
Electricity,42,text_based,0.5,-0.00736037640168775,-6.338726851286456e-08,4.300640927716615e-05,0.9999999660634254
Electricity,42,patching,0.1,0.06184615136526678,-5.0189937759032264e-08,0.0024340153409168246,0.9999963273184291
Electricity,42,patching,0.5,0.05597529716607958,-1.687318594564149e-06,0.0024340153409168246,0.9999963273184291
Electricity,42,decomposition,0.1,-0.005936798488171739,0.0,4.606357172746164e-34,1.0
Electricity,42,decomposition,0.5,0.10434377388342835,-7.401486830834377e-17,4.606357172746164e-34,1.0
Electricity,42,foundation,0.1,0.01792540815793308,2.1437625182012586e-05,0.30858984047589655,0.9979230856685404
Electricity,42,foundation,0.5,0.25160443149080397,2.491112694548447e-05,0.30858984047589655,0.9979230856685404
Electricity,42,hmm,0.1,0.04185698822396989,-0.00021661573256319543,0.15830809862114623,0.9979628489525523
Electricity,42,hmm,0.5,0.812030745343998,-0.006058670297873387,0.15830809862114623,0.9979628489525523
Electricity,2021,discretization,0.1,-0.01587176537914896,1.2204252960770415e-05,0.16629825770202444,0.9994356369866199
Electricity,2021,discretization,0.5,-0.37064005213880996,-2.3062651342894307e-05,0.16629825770202444,0.9994356369866199
Electricity,2021,text_based,0.1,-0.01173828656028325,7.849175835141585e-09,4.300640927716615e-05,0.9999999660634254
Electricity,2021,text_based,0.5,-0.008945463446414096,-9.008814833428399e-08,4.300640927716615e-05,0.9999999660634254
Electricity,2021,patching,0.1,-0.010959716423633597,-5.025995149266827e-08,0.0024340153409168246,0.9999963273184291
Electricity,2021,patching,0.5,-0.059018436681848085,-5.911759795149488e-07,0.0024340153409168246,0.9999963273184291
Electricity,2021,decomposition,0.1,0.04219734257202653,0.0,4.606357172746164e-34,1.0
Electricity,2021,decomposition,0.5,0.18175416542302036,0.0,4.606357172746164e-34,1.0
Electricity,2021,foundation,0.1,0.009388206832674054,1.6113138931919937e-05,0.3109794145582245,0.9983859474246394
Electricity,2021,foundation,0.5,0.22553723614412094,2.8768236412791612e-05,0.3109794145582245,0.9983859474246394
Electricity,2021,hmm,0.1,0.03367476231059486,-0.0003831354587756637,0.15881710694619502,0.9977854098322545
Electricity,2021,hmm,0.5,0.7517971273973311,-0.0042069314048122,0.15881710694619502,0.9977854098322545
Electricity,7,discretization,0.1,-0.02827795035417133,-1.4467238555886825e-05,0.16629825770202444,0.9994356369866199
Electricity,7,discretization,0.5,-0.35459570512580374,-5.293538670725201e-05,0.16629825770202444,0.9994356369866199
Electricity,7,text_based,0.1,-0.019297104628297798,1.0016300092495108e-08,4.300640927716615e-05,0.9999999660634254
Electricity,7,text_based,0.5,-0.021579278883595884,-4.594319928685213e-08,4.300640927716615e-05,0.9999999660634254
Electricity,7,patching,0.1,0.012236237462019356,1.9590043600255793e-07,0.0024340153409168246,0.9999963273184291
Electricity,7,patching,0.5,-0.18699850025426593,1.4411357522446838e-06,0.0024340153409168246,0.9999963273184291
Electricity,7,decomposition,0.1,-0.020369074047822972,-3.700743415417188e-17,4.606357172746164e-34,1.0
Electricity,7,decomposition,0.5,0.08958383685199649,0.0,4.606357172746164e-34,1.0
Electricity,7,foundation,0.1,0.014637466975701924,3.793829954123882e-05,0.2941611827546461,0.9980188883584059
Electricity,7,foundation,0.5,0.2494242273206794,2.501464458453385e-05,0.2941611827546461,0.9980188883584059
Electricity,7,hmm,0.1,0.040676744547942505,-0.00017833805833549597,0.15830819794251044,0.9979628542782245
Electricity,7,hmm,0.5,0.7565236545611764,-0.005304790406498562,0.15830819794251044,0.9979628542782245
