dataset,seed,technique,compression_ratio,mse_reconstruction,acf_retention,vocabulary_entropy,bigram_entropy,token_persistence,top_k_coverage
ETTh2,42,discretization,1.0,0.12492492209760932,0.9998094968904626,0.9892433562562978,0.7490815655010034,2.744599745870394,0.6986111111111111
ETTh2,42,text_based,0.09477633224369804,4.164385671086969e-05,0.9999999171261218,,,,
ETTh2,42,patching,16.0,6.526966522068078e-16,0.9999999999999988,,,,
ETTh2,42,decomposition,4320.0,5.0764174487091226e-34,1.0,,,,
ETTh2,42,foundation,16.0,0.3030032535049734,0.9978008237668902,,,,
ETTh2,42,hmm,1.0,0.0363035096241316,0.9999051542641635,0.9868126920610889,0.7750394099428753,2.8097560975609754,0.6578703703703703
ETTh2,2021,discretization,1.0,0.12492492209760932,0.9998094968904626,0.9892433562562978,0.7490815655010034,2.744599745870394,0.6986111111111111
ETTh2,2021,text_based,0.09477633224369804,4.164385671086969e-05,0.9999999171261218,,,,
ETTh2,2021,patching,16.0,6.526966522068078e-16,0.9999999999999988,,,,
ETTh2,2021,decomposition,4320.0,5.0764174487091226e-34,1.0,,,,
ETTh2,2021,foundation,16.0,0.3302022706652745,0.9974165103113878,,,,
ETTh2,2021,hmm,1.0,0.03630357087342947,0.9999051564755614,0.9868126920610888,0.7750394099428753,2.8097560975609754,0.6578703703703703
ETTh2,7,discretization,1.0,0.12492492209760932,0.9998094968904626,0.9892433562562978,0.7490815655010034,2.744599745870394,0.6986111111111111
ETTh2,7,text_based,0.09477633224369804,4.164385671086969e-05,0.9999999171261218,,,,
ETTh2,7,patching,16.0,6.526966522068078e-16,0.9999999999999988,,,,
ETTh2,7,decomposition,4320.0,5.0764174487091226e-34,1.0,,,,
ETTh2,7,foundation,16.0,0.3028473992352732,0.9972812887440173,,,,
ETTh2,7,hmm,1.0,0.03630352386260905,0.999905154742365,0.9868126920610888,0.7750394099428753,2.8097560975609754,0.6578703703703703
Weather,42,discretization,1.0,0.14430739188910058,0.9998946957454632,0.9753138896723543,0.6717696612478471,4.123951224969236,0.7325303819444444
Weather,42,text_based,0.09479652844744456,4.097687799352964e-05,0.9999999180189613,,,,
Weather,42,patching,16.0,6.424144451643993e-16,0.9999999999999118,,,,
Weather,42,decomposition,18432.0,8.590129701853214e-35,1.0,,,,
Weather,42,foundation,16.0,0.30533765397809715,0.9962458690782756,,,,
Weather,42,hmm,1.0,0.13978393913516374,0.9988562385393799,0.986511747174744,0.5796330396399421,18.240475012370112,1.0
Weather,2021,discretization,1.0,0.14430739188910058,0.9998946957454632,0.9753138896723543,0.6717696612478471,4.123951224969236,0.7325303819444444
Weather,2021,text_based,0.09479652844744456,4.097687799352964e-05,0.9999999180189613,,,,
Weather,2021,patching,16.0,6.424144451643993e-16,0.9999999999999118,,,,
Weather,2021,decomposition,18432.0,8.590129701853214e-35,1.0,,,,
Weather,2021,foundation,16.0,0.2941771969163682,0.996305443149481,,,,
Weather,2021,hmm,1.0,0.13978395112725997,0.9988562634634722,0.9865117471747441,0.5796330396399421,18.240475012370112,1.0
Weather,7,discretization,1.0,0.14430739188910058,0.9998946957454632,0.9753138896723543,0.6717696612478471,4.123951224969236,0.7325303819444444
Weather,7,text_based,0.09479652844744456,4.097687799352964e-05,0.9999999180189613,,,,
Weather,7,patching,16.0,6.424144451643993e-16,0.9999999999999118,,,,
Weather,7,decomposition,18432.0,8.590129701853214e-35,1.0,,,,
Weather,7,foundation,16.0,0.2896417532148861,0.9966008895096699,,,,
Weather,7,hmm,1.0,0.1397839482744606,0.9988562611198308,0.986511747174744,0.5796330396399421,18.240475012370112,1.0
Electricity,42,discretization,1.0,0.16480159312100784,0.9997075573926549,0.9880996073819297,0.8000517408871388,1.9284812789230121,0.712805410122164
